cluster_id,pred_area,ref_area,inside,bigger,iou,centroid_lon,centroid_lat
135,3121.0695610588855,80000.01059395698,True,False,0.039013364346912285,597037.408013602,5018108.890071729
136,17458.95177706451,60000.0,True,False,0.2909825296177419,598773.561164035,5011492.188114038
140,6012.828181411747,,False,False,0.0,609843.8321446108,4965654.019136609
143,27114.69696055173,117140.17648921323,False,False,0.20435861630610133,617441.9170525611,4974729.504028133
144,40606.751479295606,100000.0,True,False,0.40548395061667564,623335.3636803406,5013459.546980197
147,28786.64955326316,84948.20799991488,True,False,0.3139869282841461,671148.6699739505,5077726.799872536
150,4570.721041425433,,False,False,0.0,609581.8433028967,4979225.4613881335
153,5969.970988926434,,False,False,0.0,620534.1949989242,4997302.220914338
159,16270.643687775804,79999.99587963846,True,False,0.2033830565723441,603678.591835625,5011297.472183514
161,18695.607368440174,60000.0,False,False,0.2718125607101232,623294.4494216536,4981015.859911108
161,19971.657144922257,60000.0,False,False,0.24519960066201368,623165.3587249183,4981020.318384208
165,30247.951889898348,60000.0,True,False,0.4944579406600199,629014.0922320073,4975355.430106668
166,32524.84947527254,120000.19840020174,True,False,0.25222923912561557,625931.9968639687,4970181.428160254
167,20399.146196189908,21092.218495224366,False,False,0.7065524756455158,626408.0652458458,4969053.2272129515
167,10124.878367555384,120000.19840020174,True,False,0.08297640431756646,625945.4215592364,4970093.191368894
169,28741.495423414945,178734.72020000027,True,False,0.15652123181212127,630989.1596254476,4981345.024916418
170,21293.6254582787,454839.9650998333,True,False,0.046815643066028596,635772.6651676813,4980065.200105787
170,21426.969679131245,454839.9650998333,True,False,0.046877062975212165,635459.704339696,4980211.9058620185
171,21058.50322228695,440999.9630003023,True,False,0.047751711993391927,650730.4069015256,4978291.460514828
171,23976.77877039912,440999.9630003023,True,False,0.05436911741959189,650467.5168186191,4978590.146828484
173,10670.885020064195,79999.99545167507,True,False,0.1333860703343423,645392.2334597895,5022072.185811059
